year,material,volume_kt,share_pct
2010,Alu rein (2),73.1,0.457
2010,Aluminium insgesamt,90.6,0.566
2010,Feinblech / Stahl,264.7,1.654
2010,Flüssigkeitskarton,198.0,1.237
2010,Glas,2711.8,16.946
2010,Gummi / Kautschuk,3.5,0.022
2010,Holz,2549.7,15.933
2010,Kork (3),2.8,0.017
2010,Kst. rein,2662.7,16.639
2010,Kunststoffe Verb. Kst.-basis,27.4,0.171
2010,Kunststoffe insgesamt,2690.1,16.81
2010,Papier insgesamt,7196.2,44.969
2010,"Papier, Pappe rein",6776.7,42.347
2010,Sonstige Keramik,2.9,0.018
2010,Sonstige insgesamt,21.4,0.134
2010,Textil,12.2,0.076
2010,Verb. Alubasis,17.5,0.109
2010,Verb. Papierbasis,221.5,1.384
2010,Verb. Weißblechbasis,76.8,0.48
2010,Weißblech insgesamt (1),478.1,2.988
2010,Weißblech rein,401.3,2.508
2015,Alu rein (2),87.1,0.48
2015,Aluminium insgesamt,109.7,0.604
2015,Feinblech / Stahl,336.1,1.851
2015,Flüssigkeitskarton,174.4,0.961
2015,Glas,2690.2,14.82
2015,Gummi / Kautschuk,2.9,0.016
2015,Holz,3105.4,17.107
2015,Kork (3),4.7,0.026
2015,Kst. rein,3016.7,16.618
2015,Kunststoffe Verb. Kst.-basis,35.5,0.196
2015,Kunststoffe insgesamt,3052.2,16.814
2015,Papier insgesamt,8331.2,45.894
2015,"Papier, Pappe rein",7849.5,43.241
2015,Sonstige Keramik,3.7,0.02
2015,Sonstige insgesamt,26.9,0.148
2015,Textil,15.6,0.086
2015,Verb. Alubasis,22.6,0.124
2015,Verb. Papierbasis,307.3,1.693
2015,Verb. Weißblechbasis,69.3,0.382
2015,Weißblech insgesamt (1),505.9,2.787
2015,Weißblech rein,432.1,2.38
2019,Alu rein (2),106.7,0.564
2019,Aluminium insgesamt,137.9,0.729
2019,Feinblech / Stahl,350.8,1.855
2019,Flüssigkeitskarton,170.5,0.902
2019,Glas,3085.9,16.321
2019,Gummi / Kautschuk,2.8,0.015
2019,Holz,3289.4,17.397
2019,Kork (3),,
2019,Kst. rein,3130.1,16.555
2019,Kunststoffe Verb. Kst.-basis,50.1,0.265
2019,Kunststoffe insgesamt,3180.2,16.82
2019,Papier insgesamt,8340.5,44.112
2019,"Papier, Pappe rein",7891.4,41.736
2019,Sonstige Keramik,3.7,0.02
2019,Sonstige insgesamt,30.9,0.163
2019,Textil,24.4,0.129
2019,Verb. Alubasis,31.2,0.165
2019,Verb. Papierbasis,278.6,1.473
2019,Verb. Weißblechbasis,83.4,0.441
2019,Weißblech insgesamt (1),492.1,2.603
2019,Weißblech rein,408.7,2.162
2020,Alu rein (2),108.1,0.576
2020,Aluminium insgesamt,139.9,0.745
2020,Feinblech / Stahl,315.3,1.679
2020,Flüssigkeitskarton,182.2,0.97
2020,Glas,3135.2,16.697
2020,Gummi / Kautschuk,2.5,0.013
2020,Holz,3072.0,16.361
2020,Kork (3),,
2020,Kst. rein,3167.1,16.867
2020,Kunststoffe Verb. Kst.-basis,51.9,0.276
2020,Kunststoffe insgesamt,3219.0,17.143
2020,Papier insgesamt,8336.1,44.396
2020,"Papier, Pappe rein",7883.9,41.987
2020,Sonstige Keramik,3.8,0.02
2020,Sonstige insgesamt,31.1,0.166
2020,Textil,24.8,0.132
2020,Verb. Alubasis,31.8,0.169
2020,Verb. Papierbasis,270.0,1.438
2020,Verb. Weißblechbasis,83.2,0.443
2020,Weißblech insgesamt (1),528.2,2.813
2020,Weißblech rein,445.0,2.37
2021,Alu rein (2),112.5,0.571
2021,Aluminium insgesamt,143.4,0.728
2021,Feinblech / Stahl,327.0,1.661
2021,Flüssigkeitskarton,179.7,0.913
2021,Glas,3086.9,15.676
2021,Gummi / Kautschuk,2.6,0.013
2021,Holz,3624.2,18.404
2021,Kork (3),,
2021,Kst. rein,3280.8,16.661
2021,Kunststoffe Verb. Kst.-basis,45.6,0.232
2021,Kunststoffe insgesamt,3326.4,16.892
2021,Papier insgesamt,8617.6,43.762
2021,"Papier, Pappe rein",8129.2,41.282
2021,Sonstige Keramik,7.2,0.037
2021,Sonstige insgesamt,36.7,0.186
2021,Textil,26.9,0.137
2021,Verb. Alubasis,30.9,0.157
2021,Verb. Papierbasis,308.7,1.568
2021,Verb. Weißblechbasis,82.9,0.421
2021,Weißblech insgesamt (1),529.8,2.69
2021,Weißblech rein,446.9,2.269
2022,Alu rein (2),114.9,0.604
2022,Aluminium insgesamt,145.6,0.766
2022,Feinblech / Stahl,301.7,1.586
2022,Flüssigkeitskarton,179.1,0.942
2022,Glas,2991.5,15.73
2022,Gummi / Kautschuk,2.6,0.014
2022,Holz,3426.9,18.02
2022,Kork (3),,
2022,Kst. rein,3173.1,16.685
2022,Kunststoffe Verb. Kst.-basis,43.3,0.228
2022,Kunststoffe insgesamt,3216.4,16.913
2022,Papier insgesamt,8373.3,44.03
2022,"Papier, Pappe rein",7851.8,41.288
2022,Sonstige Keramik,6.8,0.036
2022,Sonstige insgesamt,36.8,0.194
2022,Textil,27.4,0.144
2022,Verb. Alubasis,30.7,0.161
2022,Verb. Papierbasis,342.4,1.8
2022,Verb. Weißblechbasis,86.9,0.457
2022,Weißblech insgesamt (1),525.0,2.761
2022,Weißblech rein,438.1,2.304
