material,2010_kt,2015_kt,2019_kt,2020_kt,2021_kt,2022_kt,diff_2022_vs_2021_kt,diff_2022_vs_2021_pct,diff_2022_vs_2010_kt,diff_2022_vs_2010_pct
Glas,2711.8,2690.2,3085.9,3135.2,3086.9,2991.5,-95.4,-3.1,279.7,10.3
Kst. rein,2662.7,3016.7,3130.1,3167.1,3280.8,3173.1,-107.7,-3.3,510.4,19.2
Kunststoffe Verb. Kst.-basis,27.4,35.5,50.1,51.9,45.6,43.3,-2.3,-5.0,15.9,58.0
Kunststoffe insgesamt,2690.1,3052.2,3180.2,3219.0,3326.4,3216.4,-110.0,-3.3,526.3,19.6
"Papier, Pappe rein",6776.7,7849.5,7891.4,7883.9,8129.2,7851.8,-277.4,-3.4,1075.1,15.9
Verb. Papierbasis,221.5,307.3,278.6,270.0,308.7,342.4,33.7,10.9,120.9,54.6
Flüssigkeitskarton,198.0,174.4,170.5,182.2,179.7,179.1,-0.6,-0.3,-18.9,-9.5
Papier insgesamt,7196.2,8331.2,8340.5,8336.1,8617.6,8373.3,-244.3,-2.8,1177.1,16.4
Alu rein (2),73.1,87.1,106.7,108.1,112.5,114.9,2.4,2.1,41.8,57.2
Verb. Alubasis,17.5,22.6,31.2,31.8,30.9,30.7,-0.2,-0.6,13.2,75.4
Aluminium insgesamt,90.6,109.7,137.9,139.9,143.4,145.6,2.2,1.5,55.0,60.7
Weißblech rein,401.3,432.1,408.7,445.0,446.9,438.1,-8.8,-2.0,36.8,9.2
Verb. Weißblechbasis,76.8,69.3,83.4,83.2,82.9,86.9,4.0,4.8,10.1,13.2
Weißblech insgesamt (1),478.1,505.9,492.1,528.2,529.8,525.0,-4.8,-0.9,46.9,9.8
Feinblech / Stahl,264.7,336.1,350.8,315.3,327.0,301.7,-25.3,-7.7,37.0,14.0
Holz,2549.7,3105.4,3289.4,3072.0,3624.2,3426.9,-197.3,-5.4,877.2,34.4
Kork (3),2.8,4.7,,,,,,,,
Gummi / Kautschuk,3.5,2.9,2.8,2.5,2.6,2.6,0.0,0.0,-0.9,-25.7
Sonstige Keramik,2.9,3.7,3.7,3.8,7.2,6.8,-0.4,-5.6,3.9,134.5
Textil,12.2,15.6,24.4,24.8,26.9,27.4,0.5,1.9,15.2,124.6
Sonstige insgesamt,21.4,26.9,30.9,31.1,36.7,36.8,0.1,0.3,15.4,72.0
Alle Materialien zusammen,16002.6,18153.1,18907.7,18776.8,19692.0,19017.2,-674.8,-3.4,3014.6,18.8
